NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,Total_Votos
EDNA APARECIDA DOS SANTOS,DEPUTADO ESTADUAL,29,1939
EDNA BEZERRA SAMPAIO FERNANDES,DEPUTADO ESTADUAL,213,73248
EDNA DA SILVA DELLA NINA,DEPUTADO FEDERAL,154,1723
EDNA FEDOSSI DE SOUZA GARCIA DA COSTA,DEPUTADO FEDERAL,184,10677
EDNA FLOR,DEPUTADO ESTADUAL,170,16482
EDNA FRANCISCO COSTA BEZERRA,DEPUTADO ESTADUAL,12,170
EDNA GONÇALVES DA SILVA,DEPUTADO ESTADUAL,32,690
EDNALDO BISPO DA CRUZ,DEPUTADO ESTADUAL,11,128
EDNEI APARECIDO PEREIRA,DEPUTADO ESTADUAL,14,150
EDNEI APARECIDO VALENCIO,DEPUTADO ESTADUAL,68,2542
EDNEI PROCÓPIO DOS SANTOS,DEPUTADO ESTADUAL,22,205
EDNEY BENEDITO SAMPAIO DUARTE JUNIOR,DEPUTADO FEDERAL,235,10632
EDSON ALEXANDRE PEREIRA,DEPUTADO ESTADUAL,28,1924
EDSON ALMEIDA DA SILVA,DEPUTADO FEDERAL,96,1408
EDSON ANTUNES DOS PASSOS,DEPUTADO ESTADUAL,24,229
EDSON BATISTA DA SILVA,DEPUTADO FEDERAL,126,452
EDSON BERTONI,DEPUTADO FEDERAL,38,974
EDSON BORGES,DEPUTADO FEDERAL,52,407
EDSON CARLOS MIRANDA MONTEIRO,DEPUTADO ESTADUAL,86,1640
EDSON COELHO ARAUJO FILHO,DEPUTADO ESTADUAL,211,13663
EDSON COQUEIRO FILHO,DEPUTADO FEDERAL,92,2312
EDSON DA CRUZ,DEPUTADO ESTADUAL,29,691
EDSON DA PAZ,DEPUTADO FEDERAL,251,1579
EDSON DE JESUS SARDANO,DEPUTADO FEDERAL,227,13736
EDSON DE OLIVEIRA GIRIBONI,DEPUTADO ESTADUAL,276,53136
EDSON DOMINGOS BALDASSI,DEPUTADO FEDERAL,30,224
EDSON FERRARINI,DEPUTADO ESTADUAL,276,13904
EDSON FERREIRA PONTES,DEPUTADO ESTADUAL,64,1707
EDSON FRANCISCO DE SANTANA,DEPUTADO FEDERAL,182,4331
EDSON FUZARO DE CASTRO,DEPUTADO ESTADUAL,361,5689
EDSON GOMES DA SILVA,DEPUTADO ESTADUAL,83,1039
EDSON LUIS DE AGUIAR,DEPUTADO ESTADUAL,13,291
EDSON MACENO,DEPUTADO ESTADUAL,65,979
EDSON MARTINS FERREIRA,DEPUTADO FEDERAL,33,132
EDSON MIGUEL DA SILVA,DEPUTADO ESTADUAL,269,6152
EDSON NASCIMENTO DE OLIVEIRA,DEPUTADO ESTADUAL,59,855
EDSON NEVES GALINDO,DEPUTADO ESTADUAL,25,126
EDSON NOVAIS GOMES PEREIRA DA SILVA,DEPUTADO ESTADUAL,28,166
EDSON PEREIRA CAMPOS,DEPUTADO ESTADUAL,76,2597
EDSON RICARDO DE CARVALHO SOUZA,DEPUTADO ESTADUAL,38,746
EDSON RICARDO GUIMARÃES,DEPUTADO ESTADUAL,44,675
EDSON RODRIGUES CARDOSO,DEPUTADO ESTADUAL,83,1552
EDSON SATORU SAKASHITA,DEPUTADO ESTADUAL,192,6187
EDSON SILVA SANTOS,DEPUTADO FEDERAL,59,541
EDSON TOMAZINI,DEPUTADO ESTADUAL,324,54119
EDUARDO ANTONIO DA SILVA PIRES,DEPUTADO FEDERAL,225,31196
EDUARDO ARAUJO PRADO,DEPUTADO FEDERAL,267,5403
EDUARDO AUGUSTO RISSI,DEPUTADO ESTADUAL,178,4049
EDUARDO BARTOLOMEU RECHE PERES,DEPUTADO FEDERAL,50,585
EDUARDO BOIGUES QUEROZ,DEPUTADO ESTADUAL,269,42450
EDUARDO CESAR LEITE,DEPUTADO FEDERAL,139,1339
EDUARDO DIAS DA CUNHA,DEPUTADO ESTADUAL,91,944
EDUARDO FERREIRA,DEPUTADO ESTADUAL,59,1721
EDUARDO FRANCISCO DE MELO,DEPUTADO ESTADUAL,270,5500
EDUARDO GOMES DE MIRANDA FILHO,DEPUTADO FEDERAL,47,289
EDUARDO HERNANDES DOMINGUES,DEPUTADO ESTADUAL,199,3301
EDUARDO JANZON AVALLONE NOGUEIRA,DEPUTADO FEDERAL,223,20215
EDUARDO KUPPER PACHECO DE AGUIRRE,DEPUTADO ESTADUAL,143,2097
EDUARDO LIMA DE SOUZA,DEPUTADO ESTADUAL,171,7866
EDUARDO LUIZ GREGORIO,DEPUTADO ESTADUAL,129,1639
EDUARDO LUNARDELLI NOVAES,DEPUTADO FEDERAL,432,13706
EDUARDO MARCHIORI LEITE DA SILVA,DEPUTADO FEDERAL,192,20038
EDUARDO MATARAZZO SUPLICY,SENADOR,645,4122594
EDUARDO MONTEIRO,DEPUTADO ESTADUAL,36,259
EDUARDO NANTES BOLSONARO,DEPUTADO FEDERAL,645,1628582
EDUARDO NAZARENO GAVINO DOS SANTOS JUNIOR,DEPUTADO FEDERAL,105,349
EDUARDO PEDROSA CURY,DEPUTADO FEDERAL,427,83777
EDUARDO PEREIRA DE ABREU,DEPUTADO FEDERAL,172,3355
EDUARDO ROCHAEL RODRIGUES CELESTINO DA SILVA,DEPUTADO FEDERAL,46,225
EDUARDO RODRIGUES XAVIER,DEPUTADO FEDERAL,201,6981
EDUARDO ROZ,DEPUTADO ESTADUAL,393,14583
EDUARDO SIVINSKI,DEPUTADO FEDERAL,170,8099
EDUARDO TADEU PEREIRA,DEPUTADO FEDERAL,235,6159
EDUARDO VALENTIM FERNANDES PEREIRA,DEPUTADO ESTADUAL,135,7124
EDUARDO VICENTE DA FONSECA,DEPUTADO ESTADUAL,69,271
EDUARDO VIEIRA PETROV,DEPUTADO ESTADUAL,218,7989
EDVALDO DA SILVA GABRIEL,DEPUTADO ESTADUAL,53,627
EDVALDO DE OLIVEIRA PAULA,DEPUTADO ESTADUAL,70,2546
EDVALDO HEITOR BORTOLLOTTI,DEPUTADO ESTADUAL,32,156
EDVALDO RANZANI CARLOS,DEPUTADO FEDERAL,79,459
EIJI DE CAMPOS SANTANA,DEPUTADO FEDERAL,209,1339
ELAINE CRISTINA DO NASCIMENTO,DEPUTADO ESTADUAL,383,11100
ELAINE CRISTINA LOPES TERRON,DEPUTADO FEDERAL,326,4058
ELAINE GONÇALVES OLIVEIRA,DEPUTADO ESTADUAL,167,1520
ELAINE SILVEIRA NEVES,DEPUTADO ESTADUAL,97,483
ELENCASTON CANDIDO DA SILVA,DEPUTADO FEDERAL,15,305
ELENISIO DE ALMEIDA SILVA,DEPUTADO ESTADUAL,28,968
ELENITA DO CARMO OLIVEIRA MARTINS,DEPUTADO ESTADUAL,39,297
ELEUSES VIEIRA DE PAIVA,DEPUTADO FEDERAL,575,72291
ELIABE VENANCIO AIRES,DEPUTADO ESTADUAL,14,165
ELIANA BARBOSA COSTA GARCIA,DEPUTADO FEDERAL,25,102
ELIANA GUERREIRO,DEPUTADO ESTADUAL,12,54
ELIANA LÚCIA FERREIRA,SENADOR,615,53710
ELIANA PASSARELLI,DEPUTADO ESTADUAL,468,31440
ELIANA PRADO DE AZEVEDO,DEPUTADO ESTADUAL,152,2142
ELIANA SABÁ,DEPUTADO FEDERAL,67,346
ELIANAI MAESTRELLO DE LYRA,DEPUTADO ESTADUAL,40,182
ELIANE APARECIDA COSTA,DEPUTADO FEDERAL,44,448
ELIANE BALSANTE LUCAS,DEPUTADO ESTADUAL,30,575
ELIANE DE SOUSA ALVES MACHADO,DEPUTADO FEDERAL,203,43116
ELIANE FLORENCIO DA SILVA,DEPUTADO ESTADUAL,5,10
ELIANE MARESCALCHI BRITO,DEPUTADO ESTADUAL,28,234
ELIAS AGOSTINHO,DEPUTADO FEDERAL,48,830
ELIAS ANTONIO NETO,DEPUTADO FEDERAL,457,20504
ELIAS DIAS DOS SANTOS,DEPUTADO ESTADUAL,27,805
ELIAS DOS ANJOS,DEPUTADO ESTADUAL,34,534
ELIAS DOS SANTOS BITENCOURT,DEPUTADO FEDERAL,206,2443
ELIAS MATIAS DA SILVA,DEPUTADO FEDERAL,32,284
ELIAS REZEK AJUB,DEPUTADO ESTADUAL,73,3405
ELIEL JUNQUEIRA FERNANDES,DEPUTADO ESTADUAL,32,380
ELIENE DA SILVA SANTOS,DEPUTADO ESTADUAL,62,432
ELIENE SIQUEIRA RIBEIRO,DEPUTADO FEDERAL,35,83
ELIETE DE MIRANDA MACHADO,DEPUTADO ESTADUAL,9,37
ELIFAS EUPHRASIO,DEPUTADO ESTADUAL,57,433
ELINELMA SOUZA BARRETO,DEPUTADO ESTADUAL,18,105
ELISA KATSUE TAKAHASHI CARARETO,DEPUTADO ESTADUAL,41,218
ELISABEL APARECIDA DA CONCEIÇÃO,DEPUTADO ESTADUAL,26,179
ELISABETE ANTONIO DO PRADO SILVA,DEPUTADO FEDERAL,70,3101
ELISABETE NATALI ALVARENGA,DEPUTADO ESTADUAL,33,4568
ELISABETH APARECIDA RODRIGUES DOS SANTOS,DEPUTADO ESTADUAL,16,226
ELISABETH DE AMORIM AMÂNCIO,DEPUTADO FEDERAL,78,719
ELISABETH SAHÃO,DEPUTADO ESTADUAL,482,48724
ELISANDRA DE MATTOS,DEPUTADO ESTADUAL,61,218
ELISANGELA JOVANA DOS SANTOS,DEPUTADO FEDERAL,92,1727
ELISANGELA VALINHO QUEIROZ DOS SANTOS,DEPUTADO FEDERAL,108,520
ELISEU DE SOUZA LOPES,DEPUTADO FEDERAL,56,859
ELISEU GABRIEL DE PIERI,DEPUTADO FEDERAL,290,31328
ELISMONICA SOUZA SILVA,DEPUTADO ESTADUAL,23,72
ELISSANDRO MARCIO SILVA LINDOSO,DEPUTADO ESTADUAL,226,26788
ELISÂNGELA APARECIDA BORGES MIGUEL,DEPUTADO FEDERAL,65,1515
ELIVELTON ANTONIO WEIRICH,DEPUTADO ESTADUAL,325,7587
ELIZABET DA SILVA ALMEIDA,DEPUTADO ESTADUAL,6,15
ELIZABETE INACIO MACEDO,DEPUTADO FEDERAL,71,474
ELIZABETE TOSHIHO TAIDA OTSU,DEPUTADO FEDERAL,69,317
ELIZABETH AGATÃO,DEPUTADO FEDERAL,65,307
ELIZABETH DUTRA DA SILVA,DEPUTADO ESTADUAL,51,681
ELIZABETH RABELO TORRES RESENDE,DEPUTADO ESTADUAL,61,363
ELIZEU MARTINS FELICIANO,DEPUTADO ESTADUAL,48,195
ELLEN CRISTINA DE MORAES,DEPUTADO FEDERAL,29,430
ELLEN RUIZ,DEPUTADO ESTADUAL,40,222
ELOI ALFREDO PIETÁ,DEPUTADO FEDERAL,221,52929
ELSA MUCHA ZANELLA,DEPUTADO ESTADUAL,6,22
ELSON DE ALMEIDA,DEPUTADO ESTADUAL,16,38
ELTON TONY SOUZA PONDÉ COELHO,DEPUTADO ESTADUAL,130,2444
ELVIRA APARECIDA DE LIMA,DEPUTADO ESTADUAL,13,81
ELVIS ANTUNES RUAS,DEPUTADO FEDERAL,112,1410
ELY ITO RODRIGUES,DEPUTADO ESTADUAL,211,1350
ELZA ALVES DE CARVALHO,DEPUTADO FEDERAL,139,968
EMERSON PEIXOTO,DEPUTADO ESTADUAL,23,335
EMERSON ZOCCHI,DEPUTADO ESTADUAL,94,968
EMIDIO PEREIRA DE SOUZA,DEPUTADO ESTADUAL,506,57755
EMILIANO ZAPATA FERREIRA MARCELINO SILVA,DEPUTADO ESTADUAL,363,16811
EMMERSON DE CAMARGO,DEPUTADO ESTADUAL,64,752
ENEAS LOPES DA SILVA,DEPUTADO FEDERAL,41,256
ENEAS PASIN GALVÃO DE CASTRO,DEPUTADO FEDERAL,232,4999
ENI FERNANDES,DEPUTADO ESTADUAL,136,2452
ENIO FRANCISCO TATTO,DEPUTADO ESTADUAL,363,76970
ENIVALDO LEITE,DEPUTADO ESTADUAL,106,3368
ENOQUE JOSE PEREIRA,DEPUTADO FEDERAL,101,928
ENRICO VAN BLARCUM DE GRAAFF MISASI,DEPUTADO FEDERAL,620,95487
ENYO DAURO LEPOS CORREIA,DEPUTADO ESTADUAL,163,1576
ERALDO PEREIRA DE LIMA,DEPUTADO ESTADUAL,21,732
ERICA CRISTINA CINTRA,DEPUTADO ESTADUAL,4,9
ERICA CRISTINA ROCHA GORGA,DEPUTADO FEDERAL,384,29038
ERICA CRISTINA VIARO,DEPUTADO ESTADUAL,11,119
ERICA NASCIMENTO SILVA,DEPUTADO ESTADUAL,46,937
ERICA VANESSA MANTOVANI,DEPUTADO ESTADUAL,100,576
ERICH DE ANDRÉS,DEPUTADO ESTADUAL,50,808
ERIKA LAUREN DE ARRUDA,DEPUTADO FEDERAL,69,235
ERIKA MIWAKO NAKASHIMA VIEIRA,DEPUTADO FEDERAL,32,253
ERLON CHAVES DE CASTRO,DEPUTADO FEDERAL,26,368
ERNESTO CAMARSANO JUNIOR,DEPUTADO FEDERAL,63,615
ERNESTO FREIRE PICHLER,DEPUTADO ESTADUAL,190,1729
ERNESTO TEIXEIRA DA CUNHA,DEPUTADO ESTADUAL,199,7372
EROS GOMES RIBEIRO,DEPUTADO ESTADUAL,17,358
ESDRA BATISTA NASCIMENTO,DEPUTADO ESTADUAL,10,60
ESTER DA SILVA,DEPUTADO ESTADUAL,36,231
ESTER NARDIN,DEPUTADO FEDERAL,59,233
ESTEVAM GALVÃO DE OLIVEIRA,DEPUTADO ESTADUAL,344,51633
ETELVINO CAETANO DA SILVA,DEPUTADO ESTADUAL,41,250
ETTORI SOUZA MOREIRA,DEPUTADO FEDERAL,40,198
EUCLYDES DIAS BUCHLER,DEPUTADO ESTADUAL,84,2596
EUDES AMARO DA SILVA,DEPUTADO FEDERAL,41,231
EUDES APARECIDO MARTINS,DEPUTADO ESTADUAL,12,60
EUFLATES CELESTINO DE LIMA,DEPUTADO FEDERAL,18,419
EUGENIO JOSÉ ZULIANI,DEPUTADO FEDERAL,535,76853
EUGENIO SAID,DEPUTADO ESTADUAL,149,812
EUGÊNIO MARIA DUARTE,DEPUTADO ESTADUAL,50,709
EUNICE ALVES DE OLIVEIRA NORONHA,DEPUTADO ESTADUAL,20,227
EURICO GONÇALVES FILHO,DEPUTADO ESTADUAL,17,184
EUVALDO REIS DOS SANTOS MENEZES,DEPUTADO ESTADUAL,53,2075
EVALDO RUI VICENTINI,DEPUTADO FEDERAL,136,503
EVANDRO CABRAL,DEPUTADO FEDERAL,47,796
EVANDRO DE SOUZA SERRÃO,DEPUTADO FEDERAL,86,513
EVANDRO GIORA,DEPUTADO ESTADUAL,66,3338
EVANDRO JOSÉ GRATON,DEPUTADO FEDERAL,66,223
EVANIR DA SILVA CARVALHO,DEPUTADO ESTADUAL,85,1337
EVELINE GUIMARÃES,DEPUTADO ESTADUAL,16,66
EVELYN CAROLINE LIMA DOS SANTOS PEREIRA,DEPUTADO ESTADUAL,5,29
EVELYN CAVALCANTE CARLOS,DEPUTADO ESTADUAL,22,89
EVERALDINA COSTA GAMA DE OLIVEIRA,DEPUTADO FEDERAL,14,115
EVERALDO CAETANO DA SILVA,DEPUTADO ESTADUAL,12,138
EVERALDO JOSÉ DA SILVA,DEPUTADO ESTADUAL,14,764
EVERALDO LISBOA DE BRITO,DEPUTADO FEDERAL,35,272
EVERALDO MARIANO DA SILVA,DEPUTADO FEDERAL,177,1477
EVERSON MARCOS DE OLIVEIRA,DEPUTADO FEDERAL,175,5881
EVERTON LUIZ FERNANDES SODARIO RAIMUNDO,DEPUTADO ESTADUAL,370,11221
EVÃNIO MARCELINO,DEPUTADO FEDERAL,42,273
EXPEDITO CARLOS DE SOUZA,DEPUTADO ESTADUAL,26,223
EZEQUIEL DE SOUZA DAMASCENO,DEPUTADO ESTADUAL,85,2919
FABIA ALESSANDRA DANIELE,DEPUTADO FEDERAL,87,606
FABIANA DA SILVA BARROS,DEPUTADO FEDERAL,32,53
FABIANA DE CARVALHO MARINHO,DEPUTADO ESTADUAL,330,4529
FABIANA LUCI DE OLIVEIRA VIANA,DEPUTADO FEDERAL,55,394
FABIANE MARQUES DE SOUZA CAMPOS,DEPUTADO ESTADUAL,30,289
FABIANI TOMAZ RAYMUNDO,DEPUTADO FEDERAL,32,488
FABIANO ANDREY BERTAGNOLI TRIGO,DEPUTADO ESTADUAL,181,9013
FABIANO DA SILVA AVELINO,DEPUTADO FEDERAL,42,432
FABIANO DE CARVALHO BATISTA,DEPUTADO ESTADUAL,81,1076
FABIANO GREGÓRIO,DEPUTADO ESTADUAL,101,1679
FABIANO JOSE SANTOS LOURENÇO,DEPUTADO ESTADUAL,24,589
FABIANO MESSIAS BORGES DA SILVA,DEPUTADO ESTADUAL,59,718
FABIANO ORIVALDO SILVA SERVELO,DEPUTADO FEDERAL,174,2230
FABIANO VERGINE TEIXEIRA DE SIQUEIRA,DEPUTADO FEDERAL,56,2308
FABIO ALEXANDRE NOGUEIRA,DEPUTADO FEDERAL,57,1841
FABIO ALEXANDRELLI,DEPUTADO FEDERAL,88,316
FABIO ALVES CABRAL,DEPUTADO ESTADUAL,56,1006
FABIO BATISTA,DEPUTADO ESTADUAL,21,89
FABIO CESAR SATO,DEPUTADO ESTADUAL,152,20913
FABIO CHAZYN,DEPUTADO FEDERAL,86,252
FABIO CONSTANTINO PALACIO,DEPUTADO FEDERAL,227,14584
FABIO DA SILVA RODRIGUES DE LIMA,DEPUTADO FEDERAL,51,149
FABIO DO CARMO SANTOS,DEPUTADO ESTADUAL,23,283
FABIO DUARTE JOANA,DEPUTADO ESTADUAL,103,2242
FABIO ELY RAMOS,DEPUTADO ESTADUAL,35,227
FABIO FERNANDO DOS REIS SILVA,DEPUTADO ESTADUAL,62,5054
FABIO GOMES SOUTO,DEPUTADO FEDERAL,58,973
FABIO JOSE RODRIGUES DE MELLO,DEPUTADO FEDERAL,142,6710
FABIO MOURA DA SILVA,DEPUTADO ESTADUAL,59,1366
FABIO NASCIMENTO DE LIMA,DEPUTADO ESTADUAL,13,80
FABIO PAES MACCACCHERO,DEPUTADO FEDERAL,109,1736
FABIO SARTORI MANFRINATO,DEPUTADO ESTADUAL,299,41072
FABIO SILINGARDI,DEPUTADO ESTADUAL,41,500
FABIO SIQUEIRA DIAS,DEPUTADO FEDERAL,147,4316
FABIOLA CARDI,DEPUTADO ESTADUAL,41,1059
FABRICIO AMARO ANDRADE,DEPUTADO ESTADUAL,83,4180
FABRICIO COBRA ARBEX,DEPUTADO FEDERAL,378,24154
FABRÍCIO MARCOS DA SILVA,DEPUTADO ESTADUAL,34,844
FABÍOLA APARECIDA DE MATOS CARRIEL,DEPUTADO FEDERAL,25,160
FABÍOLA DE CAMPOS BRAGA MATTOZINHO,DEPUTADO ESTADUAL,327,8538
FATIMA APARECIDA FERREIRA,DEPUTADO ESTADUAL,25,152
FATIMA REGINA PORTELLA OLIVEIRA,DEPUTADO FEDERAL,238,6799
FAUSTO GUILHERME LONGO,DEPUTADO FEDERAL,321,7988
FAUSTO LANDI,DEPUTADO FEDERAL,66,667
FAUSTO RUY PINATO,DEPUTADO FEDERAL,589,103626
FAUSTO SALVADOR PERES,DEPUTADO ESTADUAL,141,8347
FELICIANO NAHIMY FILHO,DEPUTADO ESTADUAL,580,70990
FELIPE ANDRE CANUTO GOMES,DEPUTADO ESTADUAL,46,946
FELIPE BRILHANTE MAROPO,DEPUTADO FEDERAL,119,1082
FELIPE FERREIRA DE SOUZA,DEPUTADO FEDERAL,33,1731
FELIPE FREITAS DE ASSIS,DEPUTADO FEDERAL,58,3584
FELIPE LUIZ DE OLIVEIRA,DEPUTADO ESTADUAL,243,4296
FELIPE MARTINS GONÇALVES DA CUNHA,DEPUTADO ESTADUAL,71,971
FERDINANDO AUGUSTO GALERA,DEPUTADO ESTADUAL,67,612
FERNANDA CERQUEIRA CAMPOS VILLANOVA,DEPUTADO FEDERAL,84,473
FERNANDA LOPES DE ANDRADE FREITAS,DEPUTADO FEDERAL,32,211
FERNANDA MENDONÇA DE SOUZA GAMA,DEPUTADO FEDERAL,66,293
FERNANDA MORENO DA SILVA,DEPUTADO FEDERAL,120,3094
FERNANDO ANTONIO FERREIRA,DEPUTADO ESTADUAL,106,2548
FERNANDO ANTONIO MARCELO,DEPUTADO FEDERAL,108,1351
FERNANDO BITENCOURT,DEPUTADO ESTADUAL,94,1868
FERNANDO BORGES CORREIA FILHO,DEPUTADO FEDERAL,55,710
FERNANDO CAPEZ,DEPUTADO FEDERAL,553,58676
FERNANDO CESAR DE CAMARGO ROSSETO,DEPUTADO FEDERAL,80,945
FERNANDO CESAR DE LIMA MOREIRA,DEPUTADO FEDERAL,49,1588
FERNANDO CESAR RAMOS,DEPUTADO ESTADUAL,62,7536
FERNANDO CHIARELLI,DEPUTADO FEDERAL,196,19877
FERNANDO DE SOUZA,DEPUTADO ESTADUAL,33,333
FERNANDO DIAS DA COSTA,DEPUTADO ESTADUAL,29,434
FERNANDO DOS SANTOS COELHO,DEPUTADO FEDERAL,108,1333
FERNANDO GARCIA IZQUIERDO,DEPUTADO ESTADUAL,24,156
FERNANDO HENRIQUE CURY,DEPUTADO ESTADUAL,438,90013
FERNANDO HENRIQUE FERREIRA,DEPUTADO ESTADUAL,73,1196
FERNANDO HENRIQUE VIEIRA SANTOS,DEPUTADO FEDERAL,58,878
FERNANDO JOSÉ DE SOUZA,DEPUTADO FEDERAL,32,1962
FERNANDO LESSA LEÃO,DEPUTADO FEDERAL,10,24
FERNANDO LUIZ ISOPPO PETITI,DEPUTADO ESTADUAL,123,22656
FERNANDO POSSE CAPARROZ,DEPUTADO FEDERAL,56,616
FERNANDO RACHAS RIBEIRO,DEPUTADO FEDERAL,83,1287
FERNANDO RICARDO LADEIA,DEPUTADO FEDERAL,63,587
FERNANDO RODRIGO DE CARVALHO,DEPUTADO ESTADUAL,30,843
FERNANDO SERGIO COVRE,DEPUTADO FEDERAL,30,291
FERNANDO TAVARES ARAÚJO DA SILVA,DEPUTADO FEDERAL,247,4503
FERNANDO TENÓRIO DI SCHIAVI,DEPUTADO FEDERAL,47,527
FHIAMA RAQUEL BISPO DE SOUZA,DEPUTADO ESTADUAL,139,1149
FILIPE AUGUSTO FORNARI MONTANHOLI,DEPUTADO ESTADUAL,194,5964
FIRMINA ALVES DA SILVA,DEPUTADO ESTADUAL,8,53
FLAVIA BISCHAIN ROSA,DEPUTADO FEDERAL,169,3091
FLAVIA DOS SANTOS DIAS,DEPUTADO FEDERAL,96,606
FLAVIA MARIA DOS ANJOS SILVA,DEPUTADO ESTADUAL,11,52
FLAVIA NASSER GOULART,DEPUTADO FEDERAL,349,15740
FLAVIANE MENESES AQUINO,DEPUTADO ESTADUAL,35,664
FLAVIO COSTA MORALES,DEPUTADO FEDERAL,135,1080
FLAVIO DE SOUZA SILVEIRA,DEPUTADO ESTADUAL,39,1005
FLAVIO FRANCISCO NAVARRO,DEPUTADO FEDERAL,180,2795
FLAVIO GOMES FREIRE,DEPUTADO FEDERAL,25,86
FLAVIO LOPES ALVES,DEPUTADO ESTADUAL,20,779
FLAVIO LUIZ EUGENIO BASTOS,DEPUTADO ESTADUAL,13,660
FLAVIO MONTESINOS GODOI,DEPUTADO ESTADUAL,80,1419
FLAVIO SILVA DE FREITAS,DEPUTADO FEDERAL,186,8116
FLAVIUS COTAIT RUGGIERO,DEPUTADO FEDERAL,108,768
FLORISA BATISTA DE ALMEIDA,DEPUTADO ESTADUAL,35,438
FLÁVIA CAMARGO DA SILVA,DEPUTADO ESTADUAL,292,22710
FLÁVIA MERCÚRIO PRATES,DEPUTADO FEDERAL,25,145
FRANCINE APARECIDA DE ALMEIDA FELIZARDO,DEPUTADO FEDERAL,25,137
FRANCISCA FERREIRA DE OLIVEIRA,DEPUTADO FEDERAL,28,129
FRANCISCA LUIZ PEREIRA,DEPUTADO ESTADUAL,9,38
FRANCISCA MARIA DE MORAES RODRIGUES,DEPUTADO ESTADUAL,13,75
FRANCISCA MARIA DO NASCIMENTO SOUSA,DEPUTADO ESTADUAL,45,1469
FRANCISCA RODRIGUES BARBOSA BRITTO,DEPUTADO ESTADUAL,46,335
FRANCISCO ALEXANDRE FILHO,DEPUTADO FEDERAL,465,22292
FRANCISCO ALEXANDRE GUERREIRO GOMES,DEPUTADO ESTADUAL,34,312
FRANCISCO ALVES DA SILVA,DEPUTADO ESTADUAL,20,363
FRANCISCO ALVES DE LIMA FILHO,DEPUTADO FEDERAL,23,330
FRANCISCO ANTONIO SARDELLI,DEPUTADO ESTADUAL,439,50493
FRANCISCO CARLOS LIMA DOS SANTOS,DEPUTADO FEDERAL,72,522
FRANCISCO CARLOS SILVEIRA LEITE,DEPUTADO ESTADUAL,144,4700
FRANCISCO DAS CHAGAS FRANCILINO,DEPUTADO FEDERAL,284,32043
FRANCISCO DAS CHAGAS PEREIRA DOS SANTOS ,DEPUTADO ESTADUAL,26,395
FRANCISCO DE ASSIS DA CRUZ,DEPUTADO FEDERAL,16,51
FRANCISCO DE ASSIS VIEIRA,DEPUTADO ESTADUAL,27,723
FRANCISCO DE PAULA DE OLIVEIRA LEITE,DEPUTADO FEDERAL,221,13510
FRANCISCO ESMERALDO FELIPE CARNEIRO,DEPUTADO ESTADUAL,191,24609
FRANCISCO EVERARDO OLIVEIRA SILVA,DEPUTADO FEDERAL,645,402070
FRANCISCO GILBERTO DA SILVA,DEPUTADO ESTADUAL,77,644
FRANCISCO JARLES DA SILVA BEZERRA,DEPUTADO ESTADUAL,172,1733
FRANCISCO JOSÉ CARVALHO,DEPUTADO ESTADUAL,52,1866
FRANCISCO JOSÉ LANG FERNANDES DE OLIVEIRA,DEPUTADO ESTADUAL,213,5872
FRANCISCO JOSÉ PANSIGA JUNIOR,DEPUTADO FEDERAL,39,401
FRANCISCO LUZ E SILVA,DEPUTADO ESTADUAL,27,139
FRANCISCO MARCELO ORTIZ FILHO,DEPUTADO FEDERAL,139,7869
FRANCISCO MARCIO DE CARVALHO,DEPUTADO FEDERAL,114,4030
FRANCISCO MARCOS IRAN AQUINO ROLIM,DEPUTADO ESTADUAL,70,1155
FRANCISCO MAURO DOS SANTOS,DEPUTADO ESTADUAL,11,719
FRANCISCO MOACIR BEZERRA DE MELO FILHO,DEPUTADO FEDERAL,225,5375
FRANCISCO MONTEIRO DE ARRUDA,DEPUTADO ESTADUAL,16,323
FRANCISCO NOGUEIRA DA SILVA,DEPUTADO FEDERAL,42,614
FRANCISCO NUNES SOBRINHO,DEPUTADO ESTADUAL,113,11587
FRANCISCO PEREIRA DE SOUSA,DEPUTADO FEDERAL,151,22473
FRANCISCO PEREIRA DE SOUSA FILHO,DEPUTADO FEDERAL,243,6994
FRANCISCO ROSSI DE ALMEIDA,DEPUTADO ESTADUAL,249,21456
FRANCISCO SEVERIANO DA SILVA,DEPUTADO ESTADUAL,6,132
FRANCISCO SILVIO MOURAO MARTINS,DEPUTADO FEDERAL,189,1482
FRANCISCO WILANI SAMPAIO BARBOSA,DEPUTADO FEDERAL,38,234
FRANCISLAINE URQUIDI FARFAN VASSER,DEPUTADO ESTADUAL,286,3833
FRANQUENEI BARROSO GOMES,DEPUTADO FEDERAL,30,230
FREDERICO BRAUN D AVILA,DEPUTADO ESTADUAL,473,21384
FÁBIO ALEXANDRE DE ARAÚJO NUNES,DEPUTADO ESTADUAL,189,5772
FÁBIO SILVA MOREIRA,DEPUTADO ESTADUAL,60,1335
FÁBIO SOARES DE OLIVEIRA,DEPUTADO FEDERAL,152,5751
GABRIEL AUGUSTO PEREIRA,DEPUTADO FEDERAL,47,579
GABRIEL CASSIANO CARVALHO NEVES FINZETTO,DEPUTADO ESTADUAL,359,9101
GABRIEL FERRATO DOS SANTOS,DEPUTADO FEDERAL,227,10487
GABRIEL ROCHA KANNER,DEPUTADO FEDERAL,363,24075
GABRIEL ROCHA MAZZALI,DEPUTADO ESTADUAL,358,8779
