,Candidato,Publicidade por materiais impressos,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,Publicidade por jornais e revistas,Diversas a especificar,Publicidade por adesivos,Correspondências e despesas postais,Locação/cessão de bens imóveis,Doações financeiras a outros candidatos/partidos,Criação e inclusão de páginas na internet,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Taxa de Administração de Financiamento Coletivo,Despesas com pessoal,Serviços próprios prestados por terceiros,Atividades de militância e mobilização de rua,Alimentação,Cessão ou locação de veículos,Materiais de expediente,"Produção de programas de rádio, televisão ou vídeo",Combustíveis e lubrificantes,Eventos de promoção da candidatura,"Produção de jingles, vinhetas e slogans",Locação/cessão de bens móveis (exceto veículos),"Impostos, contribuições e taxas",Telefone,Publicidade por carros de som,Despesas com Hospedagem,Água,Energia elétrica,Pesquisas ou testes eleitorais,Despesas com transporte ou deslocamento,Passagem Aérea,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Reembolsos de gastos realizados por eleitores,Encargos sociais,Comícios,Multas eleitorais,Gasto_Candidato,Votos recebidos,NM_PARTIDO,DS_CARGO,NR_CANDIDATO,Recursos próprios,Recursos de pessoas físicas,Recursos de partido político,Recursos de Financiamento Coletivo,Recursos de outros candidatos,Rendimentos de aplicações financeiras,Doações pela Internet,Recursos de origens não identificadas,Comercialização de bens ou realização de eventos,TotalReceita_Candidato
22,MARIO COVAS NETO,416255.34,0.0,90000.0,187186.78999999998,28710.0,0.0,1109.3,0.0,160500.0,0.0,682.0,782.26,0.0,20955.5,172640.0,869.12,22500.0,2192.4,1335000.0,16121.279999999999,0.0,0.0,125025.39,0.0,399.6,0.0,1094.74,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582072.72,0.0,Podemos,Senador,44411.0,11265.0,3312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14577.0
23,JAIR ANDREONI,3200.0,300.0,0.0,0.0,199.65,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.0,128953.0,Partido Renovador Trabalhista Brasileiro,Senador,17981.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
24,DIOGO RIBEIRO DA LUZ,8900.0,63967.47,73000.0,0.0,0.0,8350.84,867.4000000000001,0.0,11900.0,0.0,190.1,70.3,0.0,0.0,0.0,0.0,0.0,552.64,7775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175573.75,1561075.0,Partido Novo,Senador,13770.0,0.0,0.0,7796.23,0.0,5920.0,0.0,0.0,0.0,0.0,13716.23
25,MAURREN HIGA MAGGI,576019.8,612387.75,200000.0,0.0,0.0,220035.0,64000.0,0.0,400000.0,0.0,90.7,0.0,197700.0,0.0,0.0,3227.69,20000.0,0.0,800000.0,14476.289999999999,0.0,0.0,0.0,0.0,0.0,0.0,25631.77,0.0,0.0,572460.0,47232.479999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3753261.48,2615394.0,Partido Socialista Brasileiro,Senador,2215.0,0.0,0.0,92856.5,0.0,405.0,0.0,0.0,0.0,0.0,93261.5
26,JOSE RICARDO ALVARENGA TRIPOLI,192030.0,128600.0,275000.0,270.0,0.0,1530.0,222129.55,0.0,7000.0,73.4,403.5,0.0,0.0,0.0,13149.92,0.0,5400.0,4763.75,1518725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.53999999999999,108.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369251.9000000004,0.0,Partido da Social Democracia Brasileira,Senador,17085.0,0.0,0.0,20000.0,1100.0,0.0,0.0,0.0,0.0,0.0,21100.0
27,MARA CRISTINA GABRILLI,156150.1,866301.74,127000.0,95804.37,0.0,47177.0,16401.5,62500.0,0.0,8000.0,3223.25,0.0,499922.5,0.0,0.0,0.0,22698.42,1420.26,3049956.35,12664.08,0.0,0.0,13836.5,0.0,927.61,0.0,0.0,394.0,45.94,262600.0,75750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5322773.620000001,5763035.0,Partido da Social Democracia Brasileira,Senador,65432.0,414.6,0.0,20580.0,0.0,20086.620000000003,0.0,0.0,0.0,0.0,41081.22
28,SILVIA ANDREA FERRARO,17904.92,600.0,9143.0,0.0,99.0,6681.99,0.0,0.0,0.0,123.91,62.050000000000004,646.72,5000.0,3114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43375.590000000004,478897.0,Partido Socialismo e Liberdade,Senador,1082.0,26954.8,0.0,10515.05,0.0,0.0,0.0,0.0,0.0,0.0,37469.85
29,DANIEL TOJEIRA CARA,10537.0,12069.8,11333.42,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.55,0.0,0.0,3400.0,0.0,0.0,0.0,5000.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47641.770000000004,386000.0,Partido Socialismo e Liberdade,Senador,70600.0,0.0,0.0,1101.79,0.0,0.0,0.0,0.0,0.0,0.0,1101.79
30,CELSO UBIRAJARA RUSSOMANO,478525.0,77137.0,22500.0,24560.0,0.0,47000.0,2687.55,19000.0,0.0,20040.0,4561.04,0.0,1095220.9,0.0,0.0,63277.79,58172.0,8844.28,80000.0,59811.46,0.0,2500.0,11758.05,0.0,223.1,0.0,23021.5,0.0,0.0,0.0,4518.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103357.96,0.0,Partido Republicano Brasileiro,Deputado Federal,12791.0,0.0,0.0,3000.0,0.0,2250.0,0.0,0.0,0.0,0.0,5250.0
31,ESON FRANCISCO DE SANTANA,37031.79,0.0,500.0,0.0,0.0,0.0,0.0,13500.0,0.0,0.0,371.74,0.0,148084.97,0.0,0.0,0.0,0.0,0.0,0.0,2270.0,0.0,1860.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207768.5,0.0,Partido Republicano Brasileiro,Deputado Federal,28026.0,0.0,0.0,3968.64,0.0,192.0,0.0,0.0,0.0,0.0,4160.639999999999
