,Candidato,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Eventos de promoção da candidatura,Publicidade por materiais impressos,Doações financeiras a outros candidatos/partidos,Combustíveis e lubrificantes,Criação e inclusão de páginas na internet,Taxa de Administração de Financiamento Coletivo,Despesas com Hospedagem,Despesas com transporte ou deslocamento,Despesas com pessoal,"Produção de programas de rádio, televisão ou vídeo",Publicidade por jornais e revistas,Publicidade por adesivos,"Produção de jingles, vinhetas e slogans",Atividades de militância e mobilização de rua,Serviços próprios prestados por terceiros,Locação/cessão de bens móveis (exceto veículos),Diversas a especificar,Locação/cessão de bens imóveis,Publicidade por carros de som,"Impostos, contribuições e taxas",Cessão ou locação de veículos,Materiais de expediente,Alimentação,Correspondências e despesas postais,Água,Energia elétrica,Comícios,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Pesquisas ou testes eleitorais,Multas eleitorais,Passagem Aérea,Telefone,Encargos sociais,Reembolsos de gastos realizados por eleitores,Gasto_Candidato,Votos recebidos
572,APARECIDO SOUZA SANTOS,3500.0,1500.0,0.0,0.0,36408.0,0.0,4533.34,0.0,0.0,0.0,0.0,56568.01,0.0,0.0,2925.0,0.0,0.0,0.0,0.0,0.0,1780.0,0.0,0.0,11050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118264.35,5675.0
573,FILIPE AUGUSTO FORNARI MONTANHOLI,0.0,0.0,264.25,1107.0,23164.06,0.0,0.0,5000.0,0.0,0.0,0.0,77360.0,0.0,700.0,4095.0,0.0,0.0,0.0,0.0,4621.24,1300.0,0.0,0.0,0.0,0.0,580.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118192.3,5964.0
574,EDNA FLOR,11700.0,6000.0,230.95,0.0,25490.0,0.0,791.91,19700.0,0.0,0.0,0.0,40200.0,0.0,11834.9,2035.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117983.26,16482.0
575,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,4155.0,1300.0,236.1,0.0,27233.16,5000.0,3332.91,0.0,0.0,0.0,0.0,63345.0,0.0,0.0,4087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6350.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115040.07,9107.0
576,DAVI MOTA COSTA,76463.0,0.0,207.35,0.0,21156.0,0.0,4000.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,3628.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114480.0,15874.0
577,ALEXIS JOSEPH STEVERLYNCK,0.0,150.0,8.3,1000.0,40617.5,0.0,1512.07,0.0,1128.45,0.0,180.0,0.0,50400.0,1000.0,0.0,2700.0,14350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113190.52,0.0
578,MARISA APARECIDA DE SÁ LIMA,0.0,0.0,8.3,0.0,20430.0,0.0,2500.01,0.0,0.0,0.0,0.0,59631.7,0.0,0.0,2000.0,700.0,26130.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113000.01,4881.0
579,MARCOS FERNANDO PORTELLA FONTES,44631.94,5300.0,21.45,0.0,53522.5,0.0,392.92,0.0,225.32,0.0,0.0,0.0,2000.0,4426.0,1355.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.82,0.0,112647.19000000002,14668.0
580,DAMIÃO FRANCO DE SOUZA,7000.0,0.0,225.1,0.0,22055.0,0.0,2005.85,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,1087.65,600.0,64882.0,0.0,0.0,0.0,0.0,412.35,0.0,2266.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112534.55000000002,4227.0
581,NESTOR DO VAL NETO,320.0,0.0,312.2,0.0,27530.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,75856.37,0.0,1655.6,3300.0,0.0,0.0,679.9300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111404.1,1693.0
582,MAYRA ROSANNA GAMA DE ARAUJO SILVA DA COSTA,37650.0,4500.0,6.0,0.0,52915.23,0.0,1930.94,0.0,0.0,0.0,0.0,6000.0,0.0,7970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110972.17,19705.0
583,APARECIDA BATISTA DIAS BARRETO DE OLIVEIRA,3000.0,1250.0,2080.8,0.0,1327.0,0.0,2760.0,94.5,0.0,0.0,0.0,83396.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16344.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110252.65,2403.0
